"id","type_id:id","model_id:id","external_list_method","external_get_method","external_update_method","external_create_method","external_delete_method","external_key_name"
"magento_website","magento1324","base_sale_multichannels.model_external_shop_group","ol_websites.list",,,,,"website_id"
"magento_storeview","magento1324","model_magerp_storeviews","ol_storeviews.list",,,,,"store_id"
"magento_store","magento1324","sale.model_sale_shop","ol_groups.list",,,,,"group_id"
"magento_order","magento1324","sale.model_sale_order","sales_order.list","sales_order.info",,,,"increment_id"
"magento_order_line","magento1324","sale.model_sale_order_line",,,,,,"item_id"
"magento_pro_cat","magento1324","product.model_product_category","category.list","category.info","catalog_category.update","catalog_category.create",,"category_id"
"magento_attr_grp","magento1324","model_magerp_product_attribute_groups","ol_catalog_product_attribute_group.list","ol_catalog_product_attribute_group.list",,,,"attribute_group_id"
"magento_attr_set","magento1324","model_magerp_product_attribute_set","ol_catalog_product_attributeset.list",,,,,"attribute_set_id"
"magento_attr","magento1324","model_magerp_product_attributes","ol_catalog_product_attribute.list",,,,,"magento_id"
"magento_prd","magento1324","product.model_product_product","catalog_product.list","catalog_product.info","product.update","product.create",,"product_id"
"magento_cst_grp","magento1324","base.model_res_partner_category","ol_customer_groups.list",,,,,"customer_group_id"
"magento_prt_adr","magento1324","base.model_res_partner_address","ol_customer_address.list","ol_customer_address.info",,,,"customer_address_id"
"magento_prt","magento1324","base.model_res_partner","customer.list","customer.info","customer.update",,,"customer_id"
